StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod,Weight,Probability
"[10, 16]",[34],[39],"[12, 15]",[False],[0],"[0.009003576093750052, 0.004597858749999989]",[0.29833726000000005],[0.007141751646995603],"[0.006954750312499973, 0.0073894514062499885]",[0.0],7,0.3181818181818182
"[12, 15]",[34],[41],"[14, 14]",[False],[0],"[0.0074508749218750656, 0.006991053046874992]",[0.3739581987500001],[0.0017634259164333258],"[0.004084208749999995, 0.007892075546874999]",[0.0],8,0.4
"[14, 14]",[34],[43],"[15, 13]",[False],[0],"[0.0037670414306640414, 0.004296325694580088]",[0.2673884847546387],[0.007130081024952313],"[0.008511263535156207, 0.007861613250732426]",[0.0],14,0.4827586206896552
"[15, 13]",[34],[48],"[17, 12]",[False],[0],"[0.00899790515624995, 0.007197545703125032]",[0.37977794695312506],[0.005372680425643955],"[0.0024564703906250016, 0.00795304976562499]",[0.0],8,0.22857142857142856
"[18, 10]",[34],[51],"[18, 9]",[False],[0],"[0.001452995000000002, 0.003176669999999996]",[0.3221412493750001],[0.0034194254875181667],"[0.009545028125000011, 0.005373120000000004]",[0.0],5,0.15151515151515152
"[18, 9]",[34],[56],"[19, 7]",[False],[0],"[0.007210345000000052, 0.002324989999999994]",[0.612741305],[0.0009132051467895391],"[0.003178659999999998, 0.0072564600000000114]",[0.0],3,0.12
"[19, 7]",[34],[58],"[19, 6]",[False],[0],"[0.003819039999999994, 0.007577580000000006]",[0.5890931650000001],[0.0008614253997803502],"[0.007459360000000024, 0.003100205000000005]",[0.0],2,0.09523809523809523
"[19, 6]",[34],[58],"[20, 4]",[False],[0],"[0.008910320000000025, 0.0030620000000000057]",[0.74622813],[0.006691761016845824],"[1.8550000000013e-05, 0.004656260000000002]",[0.0],1,0.09090909090909091
"[20, 4]",[34],[61],"[19, 3]",[False],[0],"[1.8550000000013e-05, 0.004656260000000002]",[0.55676672],[0.00403007507324213],"[0.008434550000000039, 0.0009871900000000006]",[0.0],1,0.018518518518518517
"[19, 3]",[34],[68],"[19, 1]",[False],[0],"[0.007155405000000002, 0.0013877349999999993]",[0.7534446950000001],[0.0014585685729981215],"[0.0031861600000000472, 0.0028016050000000074]",[0.0],2,0.25
"[7, 1]",[0],[62],"[6, 3]",[False],[0],"[0.0019029050000000155, 0.0030233900000000025]",[-0.52005643],[0.004540686607360827],"[0.007132137500000021, 0.004501215000000001]",[0.0],4,0.11428571428571428
"[8, 10]",[0],[49],"[9, 11]",[False],[0],"[0.005159055000000037, 0.004133191250000005]",[-0.06309689250000006],[0.007766053676605303],"[0.004371131250000016, 0.004460532500000001]",[0.0],4,0.13333333333333333
"[11, 12]",[16],[49],"[13, 13]",[False],[0],"[0.009115899999999994, 0.006036690000000004]",[0.0056528699999999765],[0.00830904006958009],"[0.0015275600000000406, 0.0006453200000000065]",[0.0],1,0.037037037037037035
"[19, 5]",[34],[64],"[19, 4]",[False],[0],"[0.007029471250000028, 0.00401109625]",[0.24722975625000007],[0.008572146892547594],"[0.0073549625000000046, 0.008080364999999999]",[0.0],4,0.2222222222222222
"[19, 4]",[34],[68],"[19, 2]",[False],[0],"[0.008151010000000012, 0.0046965900000000005]",[0.6798511250000001],[0.005794496536255224],"[0.006409340000000039, 0.007950275000000003]",[0.0],2,0.2222222222222222
"[19, 2]",[34],[74],"[19, 0]",[False],[0],"[0.007191262500000016, 0.0035295600000000045]",[0.6162185125000001],[0.0055086946487425716],"[0.0021476799999999834, 0.008374070000000004]",[0.0],3,0.3
"[8, 14]",[19],[39],"[9, 14]",[False],[0],"[0.0019176800000000466, 0.002311562500000041]",[0.0002923849999999766],[0.007077655792236409],"[0.006900482499999994, 0.006304267500000026]",[0.0],3,0.13636363636363635
"[9, 14]",[26],[40],"[11, 14]",[False],[0],"[0.007162661250000002, 0.004924627500000011]",[0.005860122499999957],[0.007245361804962172],"[0.0024627862499999997, 0.007028148750000029]",[0.0],4,0.23529411764705882
"[11, 14]",[29],[41],"[12, 14]",[False],[0],"[0.002545068281250047, 0.00693449609375003]",[0.008850108750000004],[0.006342006623744978],"[0.008122777187500034, 0.008213244531250007]",[0.0],7,0.4375
"[12, 14]",[34],[43],"[14, 14]",[False],[0],"[0.00824759000000002, 0.008580392421875038]",[0.23528226328125007],[0.00046281188726419835],"[0.003720070078124981, 0.0029483427343750084]",[0.0],8,0.34782608695652173
"[14, 14]",[34],[44],"[15, 14]",[False],[0],"[0.0027675700000000074, 0.004266174999999994]",[0.03739537500000003],[0.0054051017761231265],"[0.00781359999999994, 0.0035813800000000055]",[0.0],2,0.06896551724137931
"[15, 14]",[34],[42],"[17, 13]",[False],[0],"[0.008223748125000005, 0.00488782375000003]",[0.35098060218750005],[0.0019384104013443794],"[0.0029511771875000235, 0.0063632484374999704]",[0.0],6,0.35294117647058826
"[17, 13]",[34],[46],"[18, 11]",[False],[0],"[0.0027902568749999888, 0.0021620162500000113]",[0.6043596706250001],[0.007875850200653022],"[0.005143716249999975, 0.007303033124999995]",[0.0],5,0.29411764705882354
"[18, 11]",[34],[47],"[19, 10]",[False],[0],"[0.004994633330078147, 0.005831672797851571]",[0.29475163186523445],[0.006073366263881405],"[0.005148012436523406, 0.008712890097656249]",[0.0],12,0.5217391304347826
"[19, 10]",[34],[50],"[20, 8]",[False],[0],"[0.006933685000000021, 0.001808294999999991]",[0.63677826],[0.009179544448852706],"[0.00438729999999999, 0.006138770000000002]",[0.0],2,0.11764705882352941
"[20, 8]",[34],[58],"[20, 6]",[False],[0],"[0.0025152050000000273, 0.0040355600000000075]",[0.7356486550000001],[0.0071320724487305455],"[0.0069933400000000215, 0.005894355]",[0.0],2,0.07692307692307693
