StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod
"[16, 0]",[34],[79],"[14, 0]",[False],[0],"[0.002817860000000033, -0.03893107999999999]",[0.68147251],[0.0595550155639648],"[0.007693540000000009, -0.05571783999999999]",[0.0]
"[14, 0]",[34],[79],"[13, 0]",[False],[0],"[0.007693540000000009, -0.05571783999999999]",[0.5010232099999999],[0.08410612106323255],"[0.00012405000000004392, -0.06799347]",[0.0]
"[13, 0]",[34],[79],"[11, 0]",[False],[0],"[0.00012405000000004392, -0.06799347]",[0.59036758],[0.11312452316284193],"[0.000471270000000008, -0.08250268000000001]",[0.0]
"[11, 0]",[34],[79],"[8, 0]",[False],[0],"[0.000471270000000008, -0.08250268000000001]",[0.5526235],[0.14025569915771485],"[0.008547299999999994, -0.09606822]",[0.0]
"[8, 0]",[34],[79],"[6, 0]",[False],[0],"[0.008547299999999994, -0.09606822]",[0.42109455],[0.160810432434082],"[0.004628259999999992, -0.10634555]",[0.0]
"[6, 0]",[34],[79],"[3, 0]",[False],[0],"[0.004628259999999992, -0.10634555]",[0.27288354000000004],[0.1739546394348146],"[0.009262500000000033, -0.11291773000000001]",[0.0]
"[3, 0]",[30],[79],"[1, 0]",[False],[0],"[0.009262500000000033, -0.11291773000000001]",[0.003269439999999995],[0.17161804199218755],"[0.0032579400000000234, -0.11174948]",[0.0]
"[1, 0]",[22],[79],"[0, 0]",[False],[0],"[0.0032579400000000234, -0.11174948]",[0.002847029999999969],[0.16526046752929702],"[-0.012452399999999975, -0.10857059000000001]",[0.0]
"[0, 0]",[9],[79],"[0, 0]",[False],[0],"[-0.012452399999999975, -0.10857059000000001]",[0.008699179999999996],[0.15269542694091798],"[-0.037488679999999996, -0.10228807999999999]",[0.0]
"[0, 0]",[0],[79],"[0, 0]",[False],[0],"[-0.037488679999999996, -0.10228807999999999]",[-0.17896816000000004],[0.1262469863891602],"[-0.06114950000000002, -0.08906383999999999]",[0.0]
"[0, 0]",[0],[79],"[0, 0]",[False],[0],"[-0.06114950000000002, -0.08906383999999999]",[-0.17041684],[0.1002261734008789],"[-0.0827058, -0.07605345000000001]",[0.0]
"[6, 0]",[34],[75],"[5, 0]",[False],[0],"[0.004191360000000029, -0.017151249999999993]",[0.02673382],[0.0008366584777832319],"[0.0034248600000000174, -0.01756961]",[0.0]
"[5, 0]",[33],[74],"[4, 0]",[False],[0],"[0.0034248600000000174, -0.01756961]",[0.002634209999999979],[0.009968433380127071],"[0.0026369000000000323, -0.017135509999999993]",[0.0]
"[4, 0]",[11],[73],"[3, 0]",[False],[0],"[0.0026369000000000323, -0.017135509999999993]",[0.008810779999999975],[0.008408946990966915],"[0.0022034600000000164, -0.011355769999999994]",[0.0]
"[3, 0]",[3],[72],"[2, 0]",[False],[0],"[0.0022034600000000164, -0.011355769999999994]",[0.0037453299999999617],[0.0025961685180663913],"[0.0028082200000000453, -0.0034493300000000005]",[0.0]
"[2, 0]",[7],[70],"[1, 0]",[False],[0],"[0.0028082200000000453, -0.0034493300000000005]",[0.007082039999999961],[0.008950328826904327],"[0.004620149999999998, 0.003373550000000003]",[0.0]
"[1, 0]",[0],[68],"[0, 1]",[False],[0],"[0.004620149999999998, 0.003373550000000003]",[-0.13808390000000004],[0.004546089172363356],"[0.0078107300000000435, 0.005575700000000005]",[0.0]
"[0, 1]",[1],[66],"[0, 2]",[False],[0],"[0.0078107300000000435, 0.005575700000000005]",[0.0032832099999999895],[0.0077103042602538925],"[0.0027518000000000264, 0.003993600000000003]",[0.0]
"[0, 2]",[0],[64],"[0, 3]",[False],[0],"[0.0027518000000000264, 0.003993600000000003]",[-0.03831552000000005],[0.008294544219970779],"[-0.0008914999999999895, 0.0037015300000000067]",[0.0]
"[0, 3]",[0],[61],"[0, 4]",[False],[0],"[-0.0008914999999999895, 0.0037015300000000067]",[-0.24045062000000006],[0.008771934509277464],"[-0.002711999999999992, 0.0084628]",[0.0]
"[0, 4]",[0],[59],"[0, 5]",[False],[0],"[-0.002711999999999992, 0.0084628]",[-0.09067954],[0.006737957000732498],"[-0.0023703999999999947, 0.009479760000000005]",[0.0]
"[0, 5]",[0],[57],"[0, 7]",[False],[0],"[-0.0023703999999999947, 0.009479760000000005]",[-0.15995473000000004],[0.0012402343750000325],"[-0.00017366999999995913, 0.0022286000000000025]",[0.0]
"[0, 7]",[0],[54],"[0, 8]",[False],[0],"[-0.00017366999999995913, 0.0022286000000000025]",[-0.18854537000000005],[0.004312953948974598],"[0.004100939999999997, 0.005692210000000003]",[0.0]
"[0, 8]",[0],[52],"[1, 9]",[False],[0],"[0.004100939999999997, 0.005692210000000003]",[-0.058774660000000034],[0.0038742828369140517],"[0.00035675000000002545, 0.00591155000000001]",[0.0]
"[1, 9]",[0],[50],"[1, 10]",[False],[0],"[0.00035675000000002545, 0.00591155000000001]",[-0.07266672000000002],[0.0027409553527832815],"[0.008266160000000031, 0.006478260000000003]",[0.0]
"[1, 10]",[0],[48],"[2, 11]",[False],[0],"[0.008266160000000031, 0.006478260000000003]",[-0.09421999000000003],[0.0005298805236817195],"[0.007895000000000003, 0.0075838]",[0.0]
"[2, 11]",[0],[46],"[3, 12]",[False],[0],"[0.007895000000000003, 0.0075838]",[-0.035854370000000024],[0.0012372398376465192],"[0.009222860000000025, 0.00723010000000001]",[0.0]
"[3, 12]",[3],[44],"[5, 13]",[False],[0],"[0.009222860000000025, 0.00723010000000001]",[0.0013411899999999626],[0.005304298400878919],"[0.0020045400000000425, 0.005196609999999992]",[0.0]
"[5, 13]",[3],[42],"[6, 14]",[False],[0],"[0.0020045400000000425, 0.005196609999999992]",[0.009717939999999951],[0.009790115356445393],"[0.006049720000000033, 0.0029536799999999967]",[0.0]
"[6, 14]",[11],[41],"[8, 14]",[False],[0],"[0.006049720000000033, 0.0029536799999999967]",[0.007508349999999981],[0.008165588378906264],"[0.0012322699999999936, 0.008765969999999994]",[0.0]
"[8, 14]",[18],[40],"[9, 15]",[False],[0],"[0.0012322699999999936, 0.008765969999999994]",[0.003899659999999961],[0.009860515594482436],"[0.007256320000000005, 0.002918390000000012]",[0.0]
"[9, 15]",[29],[40],"[11, 15]",[False],[0],"[0.007256320000000005, 0.002918390000000012]",[0.0055798799999999555],[0.007139587402343786],"[0.0037958400000000347, 0.004278919999999983]",[0.0]
"[11, 15]",[20],[39],"[13, 15]",[False],[0],"[0.0037958400000000347, 0.004278919999999983]",[0.00014722999999997738],[0.009646949768066465],"[0.0006802200000000109, 0.008025309999999999]",[0.0]
"[13, 15]",[34],[40],"[14, 15]",[False],[0],"[0.0006802200000000109, 0.008025309999999999]",[0.05854868],[0.002074337005615226],"[0.007899529999999998, 0.006811519999999979]",[0.0]
"[14, 15]",[34],[41],"[16, 14]",[False],[0],"[0.007899529999999998, 0.006811519999999979]",[0.30295245],[0.0067220115661621675],"[0.004598779999999997, 0.00948766000000002]",[0.0]
"[16, 14]",[34],[43],"[17, 13]",[False],[0],"[0.004598779999999997, 0.00948766000000002]",[0.45813299],[0.00912858963012701],"[0.009919380000000014, 0.008284369999999987]",[0.0]
"[17, 13]",[34],[46],"[19, 12]",[False],[0],"[0.009919380000000014, 0.008284369999999987]",[0.59449507],[0.00835336685180672],"[0.00326552000000002, 0.003672059999999998]",[0.0]
"[19, 12]",[34],[50],"[20, 10]",[False],[0],"[0.00326552000000002, 0.003672059999999998]",[0.73186372],[0.00444660186767586],"[0.004090560000000028, 0.005625439999999999]",[0.0]
"[20, 10]",[34],[53],"[21, 8]",[False],[0],"[0.004090560000000028, 0.005625439999999999]",[0.71646805],[0.00976993560791019],"[0.002048670000000018, 0.007963750000000006]",[0.0]
"[21, 8]",[34],[57],"[21, 6]",[False],[0],"[0.002048670000000018, 0.007963750000000006]",[0.76631845],[0.007585887908935491],"[0.007114410000000003, 0.00905572]",[0.0]
"[21, 6]",[34],[61],"[21, 4]",[False],[0],"[0.007114410000000003, 0.00905572]",[0.78012203],[0.006092014312744172],"[0.009136500000000007, 0.009802708630000004]",[0.0]
"[21, 3]",[34],[67],"[21, 2]",[False],[0],"[0.008311330000000021, 0.004922110000000006]",[0.5675244700000001],[0.0037295150756836686],"[0.005155500000000023, 0.0009839800000000024]",[0.0]
"[21, 2]",[34],[70],"[20, 0]",[False],[0],"[0.005155500000000023, 0.0009839800000000024]",[0.55877105],[0.0011680603027343604],"[0.009781250000000026, 0.007264720000000002]",[0.0]
"[20, 0]",[34],[73],"[20, 0]",[False],[0],"[0.009781250000000026, 0.007264720000000002]",[0.74858092],[0.008097095489502071],"[0.0019588600000000136, -0.011199839999999996]",[0.0]
"[20, 0]",[34],[76],"[19, 0]",[False],[0],"[0.0019588600000000136, -0.011199839999999996]",[0.60822588],[0.008008422851562662],"[0.001369260000000037, -0.026155479999999995]",[0.0]
"[19, 0]",[34],[79],"[17, 0]",[False],[0],"[0.001369260000000037, -0.026155479999999995]",[0.6955521],[0.012285957336425781],"[0.00827024000000002, -0.04329426]",[0.0]
"[17, 0]",[34],[79],"[16, 0]",[False],[0],"[0.00827024000000002, -0.04329426]",[0.46028415],[0.034800205230713026],"[0.0027427600000000385, -0.05455143]",[0.0]
"[16, 0]",[34],[79],"[14, 0]",[False],[0],"[0.0027427600000000385, -0.05455143]",[0.51444653],[0.06002250671386732],"[0.005341949999999995, -0.06716253]",[0.0]
"[14, 0]",[34],[79],"[12, 0]",[False],[0],"[0.005341949999999995, -0.06716253]",[0.53834002],[0.08643957138061518],"[0.005891470000000003, -0.08037109999999999]",[0.0]
"[12, 0]",[34],[79],"[10, 0]",[False],[0],"[0.005891470000000003, -0.08037109999999999]",[0.25539557],[0.09870935440063476],"[0.0047049999999999904, -0.08650590000000001]",[0.0]
"[10, 0]",[34],[79],"[8, 0]",[False],[0],"[0.0047049999999999904, -0.08650590000000001]",[0.19695178000000002],[0.10805688858032235],"[0.002614740000000018, -0.09117974]",[0.0]
