StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod
"[69, 39]",[111],[97],"[69, 39]",[False],[0],"[0.008478479999999998, 0.007870910000000014]",[0.00727433000000007],[0.0002997207641602471],"[0.009714799999999956, 0.007439140000000016]",[0.0]
"[69, 39]",[128],[97],"[70, 39]",[False],[0],"[0.009714799999999956, 0.007439140000000016]",[0.003596900000000014],[0.009479503631591843],"[0.0006602499999999699, 0.002849219999999991]",[0.0]
"[70, 39]",[124],[98],"[70, 38]",[False],[0],"[0.0006602499999999699, 0.002849219999999991]",[0.000454220000000137],[0.006502265930175739],"[0.0009288900000000121, 0.009337790000000009]",[0.0]
"[70, 38]",[97],[98],"[70, 39]",[False],[0],"[0.0009288900000000121, 0.009337790000000009]",[0.002315070000000039],[0.00011798858642582746],"[0.00099314, 0.00252986]",[0.0]
"[70, 39]",[122],[98],"[70, 38]",[False],[0],"[0.00099314, 0.00252986]",[0.0012515200000000094],[0.006180591583252088],"[0.0012362699999999803, 0.009498669999999983]",[0.0]
"[70, 38]",[120],[99],"[70, 38]",[False],[0],"[0.0012362699999999803, 0.009498669999999983]",[0.003261880000000092],[0.001343688964843796],"[0.001018360000000048, 0.006917070000000022]",[0.0]
"[70, 38]",[93],[98],"[70, 39]",[False],[0],"[0.001018360000000048, 0.006917070000000022]",[0.009446780000000128],[0.0033160400390624574],"[0.0007392300000000317, 0.0009310200000000098]",[0.0]
"[70, 39]",[116],[98],"[70, 38]",[False],[0],"[0.0007392300000000317, 0.0009310200000000098]",[0.007881880000000126],[0.006710071563720794],"[0.0007976399999999849, 0.009233900000000014]",[0.0]
"[70, 38]",[100],[98],"[70, 39]",[False],[0],"[0.0007976399999999849, 0.009233900000000014]",[0.007527640000000148],[0.002086467742920057],"[0.00079836000000005, 0.0015456700000000042]",[0.0]
"[70, 39]",[110],[98],"[70, 39]",[False],[0],"[0.00079836000000005, 0.0015456700000000042]",[0.005297220000000168],[0.0023513984680175355],"[0.0010385599999999627, 0.0014132299999999928]",[0.0]
"[70, 39]",[113],[98],"[70, 39]",[False],[0],"[0.0010385599999999627, 0.0014132299999999928]",[0.0071235500000000705],[0.004207534790039064],"[0.0012152300000000636, 0.00048517999999997917]",[0.0]
"[70, 39]",[117],[98],"[70, 38]",[False],[0],"[0.0012152300000000636, 0.00048517999999997917]",[0.002183780000000095],[0.007816715240478517],"[0.0011965799999999437, 0.008680589999999985]",[0.0]
"[70, 38]",[118],[99],"[70, 38]",[False],[0],"[0.0011965799999999437, 0.008680589999999985]",[0.002972040000000089],[0.001965293884277434],"[0.0008748900000000136, 0.006606229999999987]",[0.0]
"[70, 38]",[108],[99],"[70, 38]",[False],[0],"[0.0008748900000000136, 0.006606229999999987]",[0.006708430000000036],[0.0013007736206055148],"[0.000349600000000002, 0.006938590000000019]",[0.0]
"[70, 38]",[108],[99],"[69, 38]",[False],[0],"[0.000349600000000002, 0.006938590000000019]",[0.004566120000000055],[0.0005290603637696217],"[0.009880269999999957, 0.0073243500000000315]",[0.0]
"[69, 38]",[115],[99],"[69, 38]",[False],[0],"[0.009880269999999957, 0.0073243500000000315]",[0.0016748100000000248],[0.0031127548217773898],"[0.009383340000000006, 0.006032540000000027]",[0.0]
"[69, 38]",[91],[98],"[69, 39]",[False],[0],"[0.009383340000000006, 0.006032540000000027]",[0.002564840000000136],[0.003740997314453171],"[0.008998479999999963, 0.0007183599999999787]",[0.0]
"[69, 39]",[103],[98],"[69, 39]",[False],[0],"[0.008998479999999963, 0.0007183599999999787]",[0.001033220000000062],[0.00029270172119140805],"[0.009205300000000015, 0.002442600000000022]",[0.0]
"[69, 39]",[123],[98],"[69, 38]",[False],[0],"[0.009205300000000015, 0.002442600000000022]",[0.005406710000000104],[0.007063026428222614],"[0.009415650000000041, 0.009057409999999985]",[0.0]
"[69, 38]",[106],[98],"[69, 38]",[False],[0],"[0.009415650000000041, 0.009057409999999985]",[0.008576029999999988],[0.005491847991943317],"[0.009306689999999994, 0.00984300136999999]",[0.0]
"[54, 30]",[9],[110],"[53, 32]",[False],[0],"[0.0057222699999999425, 0.0012578599999999822]",[0.006197199999999981],[6.591949208711867e-17],"[0.0028568500000000375, 0.0062578400000000145]",[0.0]
"[53, 32]",[7],[105],"[52, 35]",[False],[0],"[0.0028568500000000375, 0.0062578400000000145]",[5.44800000000286e-05],[2.2551405187698492e-17],"[0.003991430000000025, 0.001257819999999991]",[0.0]
"[52, 35]",[12],[100],"[51, 37]",[False],[0],"[0.003991430000000025, 0.001257819999999991]",[0.004034930000000096],[0.0012017250061033616],"[0.009093950000000016, 0.00565703999999999]",[0.0]
"[51, 37]",[25],[95],"[51, 39]",[False],[0],"[0.009093950000000016, 0.00565703999999999]",[0.005013660000000137],[0.008952426910400482],"[0.007925760000000002, 0.006781700000000007]",[0.0]
"[51, 39]",[11],[90],"[52, 42]",[False],[0],"[0.007925760000000002, 0.006781700000000007]",[0.008055010000000069],[0.009855175018310684],"[0.0003200800000000628, 0.0013303500000000114]",[0.0]
"[52, 42]",[28],[86],"[52, 44]",[False],[0],"[0.0003200800000000628, 0.0013303500000000114]",[0.00911108000000007],[0.00931076049804688],"[0.006414120000000086, 0.0016026000000000026]",[0.0]
"[52, 44]",[43],[83],"[53, 45]",[False],[0],"[0.006414120000000086, 0.0016026000000000026]",[0.00939973000000009],[0.006280727386474614],"[0.005551270000000013, 0.008117500000000001]",[0.0]
"[53, 45]",[65],[81],"[54, 46]",[False],[0],"[0.005551270000000013, 0.008117500000000001]",[0.0026353700000000344],[0.003912487030029369],"[0.0070465699999999985, 0.009301599999999976]",[0.0]
"[54, 46]",[92],[80],"[55, 47]",[False],[0],"[0.0070465699999999985, 0.009301599999999976]",[0.0001317300000000174],[0.004919052124023465],"[0.009974700000000036, 0.003798290000000001]",[0.0]
"[55, 47]",[90],[79],"[57, 47]",[False],[0],"[0.009974700000000036, 0.003798290000000001]",[0.0025627900000000405],[0.005047187805175787],"[0.003645729999999953, 0.008734270000000008]",[0.0]
"[57, 47]",[121],[80],"[58, 47]",[False],[0],"[0.003645729999999953, 0.008734270000000008]",[0.00824204],[0.0009593009948730968],"[0.007685500000000071, 0.005778240000000009]",[0.0]
"[58, 47]",[142],[81],"[60, 46]",[False],[0],"[0.007685500000000071, 0.005778240000000009]",[0.006500870000000113],[0.0072843933105469025],"[0.0009746399999999919, 0.007615739999999992]",[0.0]
"[60, 46]",[135],[83],"[61, 46]",[False],[0],"[0.0009746399999999919, 0.007615739999999992]",[0.008414219999999977],[0.00020505905151374341],"[0.003048640000000021, 0.0011553099999999754]",[0.0]
"[61, 46]",[122],[83],"[62, 45]",[False],[0],"[0.003048640000000021, 0.0011553099999999754]",[0.0021507700000000275],[0.006312580108642605],"[0.004270639999999975, 0.008101640000000023]",[0.0]
"[62, 45]",[142],[85],"[63, 44]",[False],[0],"[0.004270639999999975, 0.008101640000000023]",[0.007892579999999937],[0.0027071952819824486],"[0.00472970000000005, 0.009904340000000005]",[0.0]
"[63, 44]",[147],[87],"[64, 44]",[False],[0],"[0.00472970000000005, 0.009904340000000005]",[0.007212979999999978],[0.001567916870117236],"[0.003811429999999949, 0.00047393000000000435]",[0.0]
"[64, 44]",[132],[88],"[65, 43]",[False],[0],"[0.003811429999999949, 0.00047393000000000435]",[0.00027975999999999696],[0.002581901550293017],"[0.0015935299999999628, 0.004966940000000015]",[0.0]
"[65, 43]",[124],[88],"[65, 43]",[False],[0],"[0.0015935299999999628, 0.004966940000000015]",[0.0014011099999999485],[0.009651966094970751],"[0.008599699999999997, 0.0014319000000000259]",[0.0]
"[65, 43]",[134],[90],"[66, 42]",[False],[0],"[0.008599699999999997, 0.0014319000000000259]",[0.0021656200000000313],[0.0017601966857909747],"[0.004905929999999965, 0.0053777399999999954]",[0.0]
