State_Center,Act_Center,Reward_Center,NextState_Center,Done,Cost_Center,Weight,Probability
"[-0.32499999999999996, -0.015000000000000017]",[-0.2550000000000001],[1.215],"[-0.33499999999999996, -0.005000000000000009]",False,[50.0],1,0.024390243902439025
"[-0.32499999999999996, 0.01500000000000001]",[-0.32500000000000007],[1.145],"[-0.32499999999999996, 0.02500000000000002]",False,[50.0],1,0.020833333333333332
"[-0.31500000000000006, 0.03499999999999997]",[-0.16500000000000004],[1.115],"[-0.31500000000000006, 0.04499999999999998]",False,[50.0],1,0.02702702702702703
"[-0.30500000000000005, 0.04499999999999998]",[-0.2550000000000001],[1.095],"[-0.29500000000000004, 0.054999999999999986]",False,[50.0],1,0.03571428571428571
"[-0.29500000000000004, 0.054999999999999986]",[-0.04500000000000005],[1.085],"[-0.29500000000000004, 0.054999999999999986]",False,[50.0],1,0.1
"[-0.29500000000000004, 0.054999999999999986]",[0.16499999999999992],[1.085],"[-0.28500000000000003, 0.054999999999999986]",False,[50.0],2,0.2
"[-0.275, 0.04499999999999998]",[0.33499999999999985],[1.115],"[-0.265, 0.04499999999999998]",False,[50.0],2,0.08
"[-0.375, -0.07500000000000001]",[-0.3850000000000001],[1.325],"[-0.395, -0.065]",False,[50.0],1,0.04
"[-0.405, -0.055]",[-0.805],[1.215],"[-0.405, -0.03499999999999998]",False,[50.0],2,0.06896551724137931
"[-0.405, -0.03499999999999998]",[-0.7050000000000001],[1.235],"[-0.41500000000000004, -0.015000000000000017]",False,[50.0],1,0.023255813953488372
"[-0.41500000000000004, 0.03499999999999997]",[-0.755],[1.055],"[-0.405, 0.054999999999999986]",False,[50.0],2,0.06451612903225806
"[-0.385, -0.08500000000000002]",[-0.395],[1.235],"[-0.405, -0.07500000000000001]",False,[50.0],1,0.04
"[-0.425, 0.065]",[-0.8550000000000001],[0.935],"[-0.41500000000000004, 0.08500000000000002]",False,[50.0],5,0.22727272727272727
"[-0.395, 0.09499999999999997]",[-0.685],[0.845],"[-0.385, 0.11499999999999999]",False,[50.0],1,0.047619047619047616
"[-0.385, 0.11499999999999999]",[-0.525],[0.815],"[-0.365, 0.135]",False,[50.0],2,0.2
"[-0.365, 0.135]",[-0.2350000000000001],[0.805],"[-0.33499999999999996, 0.135]",False,[50.0],1,0.125
"[-0.31500000000000006, 0.135]",[0.32499999999999984],[0.815],"[-0.29500000000000004, 0.125]",False,[50.0],1,0.25
"[-0.275, 0.11499999999999999]",[0.695],[0.885],"[-0.265, 0.09499999999999997]",False,[50.0],1,0.16666666666666666
"[-0.255, -0.08500000000000002]",[0.6149999999999999],[1.285],"[-0.275, -0.10499999999999998]",False,[50.0],1,0.2
"[-0.375, -0.14500000000000002]",[-0.1050000000000001],[1.355],"[-0.395, -0.135]",False,[50.0],1,0.16666666666666666
"[-0.485, -0.07500000000000001]",[-0.7350000000000001],[1.185],"[-0.495, -0.055]",False,[50.0],1,0.125
"[-0.495, -0.055]",[-0.745],[1.145],"[-0.505, -0.03499999999999998]",False,[50.0],1,0.25
"[-0.505, 0.005]",[-0.9050000000000001],[1.015],"[-0.505, 0.03499999999999997]",False,[50.0],1,0.125
"[-0.495, 0.054999999999999986]",[-0.8150000000000001],[0.935],"[-0.495, 0.07500000000000001]",False,[50.0],1,0.5
"[-0.495, 0.07500000000000001]",[-0.8450000000000001],[0.905],"[-0.47500000000000003, 0.09499999999999997]",False,[50.0],2,0.4
"[-0.47500000000000003, 0.09499999999999997]",[-0.765],[0.865],"[-0.465, 0.11499999999999999]",False,[50.0],2,0.6666666666666666
"[-0.385, 0.03499999999999997]",[-0.765],[1.035],"[-0.385, 0.054999999999999986]",False,[50.0],2,0.06666666666666667
"[-0.375, 0.065]",[-0.685],[0.955],"[-0.365, 0.08500000000000002]",False,[50.0],4,0.13333333333333333
"[-0.365, 0.08500000000000002]",[-0.43500000000000005],[0.945],"[-0.345, 0.09499999999999997]",False,[50.0],3,0.1
"[-0.345, 0.09499999999999997]",[-0.29500000000000004],[0.915],"[-0.33499999999999996, 0.10499999999999998]",False,[50.0],1,0.0625
"[-0.29500000000000004, 0.10499999999999998]",[0.46499999999999997],[0.955],"[-0.28500000000000003, 0.08500000000000002]",False,[50.0],1,0.16666666666666666
"[-0.265, -0.07500000000000001]",[0.43499999999999994],[1.305],"[-0.275, -0.08500000000000002]",False,[50.0],1,0.2
"[-0.275, -0.08500000000000002]",[0.525],[1.335],"[-0.29500000000000004, -0.10499999999999998]",False,[50.0],1,0.5
"[-0.31500000000000006, -0.11499999999999999]",[0.3849999999999999],[1.375],"[-0.32499999999999996, -0.125]",False,[50.0],1,0.125
"[-0.47500000000000003, -0.07500000000000001]",[-0.745],[1.235],"[-0.495, -0.055]",False,[50.0],1,0.06666666666666667
