StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod,Weight,Probability
"[5, 14]",[156],[150],"[1, 13]",[False],[0],"[0.0037545999999999847, 0.005178990000000005]",[0.0013596499999999553],[0.007837486267089768],"[0.003968100000000039, 0.003645000000000011]",[0.0],1,0.5
"[1, 13]",[163],[141],"[0, 14]",[True],[1],"[0.003968100000000039, 0.003645000000000011]",[0.0002627100000001919],[0.007145347595214903],"[0.0, 0.002486820000000011]",[0.0],1,1.0
"[49, 31]",[128],[115],"[47, 30]",[False],[0],"[0.0025095000000000343, 0.0028232499999999907]",[0.009677950000000157],[0.00948390960693357],"[0.009908370000000019, 0.008081280000000007]",[0.0],1,0.045454545454545456
"[47, 30]",[118],[115],"[46, 30]",[False],[0],"[0.007221364999999999, 0.006725929999999974]",[0.005320259999999879],[0.009007930755615122],"[0.0037837350000000207, 0.004592919999999983]",[0.0],2,0.10526315789473684
"[40, 28]",[112],[119],"[39, 28]",[False],[0],"[0.007821860000000028, 0.009927739999999984]",[0.00909206999999998],[0.007245788574218681],"[0.0017715999999999895, 0.009200320000000005]",[0.0],1,0.1
"[34, 27]",[141],[123],"[32, 27]",[False],[0],"[0.001154240000000046, 0.00941985000000002]",[0.008185130000000098],[0.0027160835266113025],"[0.0030372000000000177, 0.001465260000000036]",[0.0],1,0.16666666666666666
"[26, 24]",[162],[130],"[23, 23]",[False],[0],"[0.002049799999999994, 0.007360960000000014]",[0.001620009999999967],[0.00700569152832033],"[0.008532030000000001, 0.004320419999999997]",[0.0],1,0.5
"[23, 23]",[151],[132],"[21, 22]",[False],[0],"[0.008532030000000001, 0.004320419999999997]",[0.008832710000000054],[0.007947330474853444],"[0.003064899999999997, 0.00384961]",[0.0],1,1.0
"[21, 22]",[176],[136],"[18, 20]",[False],[0],"[0.003064899999999997, 0.00384961]",[0.007679520000000134],[0.0013313674926756641],"[0.005590499999999988, 0.007157570000000009]",[0.0],1,0.5
"[18, 20]",[169],[139],"[15, 19]",[False],[0],"[0.005590499999999988, 0.007157570000000009]",[0.009081950000000028],[0.0012854194641112992],"[0.005537030000000073, 0.0021805900000000083]",[0.0],1,1.0
"[15, 19]",[180],[142],"[12, 17]",[False],[0],"[0.005537030000000073, 0.0021805900000000083]",[0.00036179000000014644],[0.006303482055664122],"[0.0029520699999999664, 0.004671490000000009]",[0.0],1,1.0
"[12, 17]",[162],[145],"[8, 16]",[False],[0],"[0.0029520699999999664, 0.004671490000000009]",[0.00139158999999996],[0.002373123168945371],"[0.007804340000000035, 0.0016367200000000082]",[0.0],1,0.5
"[8, 16]",[155],[147],"[5, 15]",[False],[0],"[0.007804340000000035, 0.0016367200000000082]",[0.004468579999999956],[0.005096511840820326],"[0.000660200000000043, 0.00027500000000001655]",[0.0],1,0.5
"[5, 15]",[143],[149],"[1, 14]",[False],[0],"[0.000660200000000043, 0.00027500000000001655]",[0.0002627100000000184],[0.001609668731689511],"[0.001863900000000038, 0.0020184500000000154]",[0.0],1,1.0
"[1, 14]",[149],[129],"[0, 17]",[True],[1],"[0.001863900000000038, 0.0020184500000000154]",[0.009778100000000083],[0.0022730445861816138],"[0.0, 0.001078460000000012]",[0.0],1,1.0
"[46, 35]",[93],[111],"[46, 35]",[False],[0],"[0.008384437500000019, 0.0022043193750000117]",[0.0008652475000000843],[0.008841767311096168],"[0.0025626562500000276, 0.006432728125000035]",[0.0],5,0.1111111111111111
"[46, 35]",[105],[113],"[45, 35]",[False],[0],"[0.0024588600000000176, 0.00623390750000005]",[0.006817862499999961],[0.006350560188293256],"[0.007113839999999984, 0.007313470000000015]",[0.0],3,0.06666666666666667
"[45, 35]",[111],[114],"[45, 35]",[False],[0],"[0.0074270799999999765, 0.004671850000000003]",[0.007923450000000129],[0.007406721115112192],"[0.001750690000000001, 0.004223775000000011]",[0.0],2,0.07407407407407407
"[45, 35]",[122],[117],"[44, 34]",[False],[0],"[0.0022989600000000183, 0.0014110000000000216]",[0.005690260000000117],[0.0028263854980469395],"[0.005957150000000015, 0.008268760000000003]",[0.0],1,0.037037037037037035
"[44, 34]",[127],[118],"[43, 34]",[False],[0],"[0.005957150000000015, 0.008268760000000003]",[0.0018878200000000869],[0.0014208030700683348],"[0.009050939999999992, 0.003971510000000029]",[0.0],1,0.041666666666666664
"[43, 34]",[118],[118],"[43, 34]",[False],[0],"[0.009050939999999992, 0.003971510000000029]",[0.0005697200000000201],[0.005449314117431572],"[0.0015789600000000025, 0.001957229999999994]",[0.0],1,0.05555555555555555
"[43, 34]",[119],[119],"[42, 33]",[False],[0],"[0.0015789600000000025, 0.001957229999999994]",[0.001540720000000084],[2.6283264160131478e-05],"[0.0037701000000000297, 0.009668709999999978]",[0.0],1,0.05555555555555555
"[42, 33]",[116],[116],"[41, 33]",[False],[0],"[0.0029742250000000282, 0.006424099999999997]",[0.004953565000000222],[0.006539335250854379],"[0.004315460000000016, 0.0048002899999999935]",[0.0],2,0.18181818181818182
"[41, 33]",[114],[116],"[40, 33]",[False],[0],"[0.004315460000000016, 0.0048002899999999935]",[0.006563764999999989],[0.008867540359497002],"[0.005421424999999994, 0.0036362400000000215]",[0.0],2,0.2
"[40, 33]",[112],[116],"[39, 33]",[False],[0],"[0.005421424999999994, 0.0036362400000000215]",[0.001954270000000008],[0.009965219497680818],"[0.006373949999999967, 0.003087340000000058]",[0.0],2,0.5
"[39, 33]",[122],[121],"[38, 32]",[False],[0],"[0.00739429999999997, 9.572000000003002e-05]",[0.002922420000000151],[0.0053184890747070505],"[0.007645750000000003, 0.007022689999999998]",[0.0],1,0.09090909090909091
"[38, 32]",[118],[119],"[37, 32]",[False],[0],"[0.007034375000000034, 0.006735485000000041]",[0.0072349250000000274],[0.003560266494750863],"[0.006795735000000068, 0.004554635000000029]",[0.0],2,0.4
"[37, 32]",[128],[122],"[36, 32]",[False],[0],"[0.007558139999999979, 0.006812700000000005]",[0.003110420000000058],[0.004893951416015511],"[0.007204100000000026, 0.0022349400000000186]",[0.0],1,0.3333333333333333
"[36, 32]",[111],[122],"[35, 32]",[False],[0],"[0.007204100000000026, 0.0022349400000000186]",[0.0037246000000000414],[0.005580120086669808],"[0.006343350000000051, 0.001891799999999999]",[0.0],1,1.0
"[35, 32]",[131],[123],"[34, 31]",[False],[0],"[0.006343350000000051, 0.001891799999999999]",[0.008104579999999943],[0.006485385894775276],"[0.005155260000000068, 0.006439169999999985]",[0.0],1,0.5
"[34, 31]",[113],[123],"[33, 31]",[False],[0],"[0.005155260000000068, 0.006439169999999985]",[0.0025846599999999973],[0.008114643096923847],"[0.0033420999999999677, 0.005624549999999997]",[0.0],1,0.5
"[33, 31]",[131],[124],"[32, 31]",[False],[0],"[0.0033420999999999677, 0.005624549999999997]",[0.0053295600000000925],[0.008881149291992206],"[0.0011548600000000353, 0.0002413600000000151]",[0.0],1,0.5
"[32, 31]",[125],[125],"[30, 30]",[False],[0],"[0.0011548600000000353, 0.0002413600000000151]",[0.004060960000000087],[0.006584167480468724],"[0.00818810000000007, 0.006389820000000029]",[0.0],1,0.5
"[30, 30]",[137],[127],"[29, 29]",[False],[0],"[0.00818810000000007, 0.006389820000000029]",[0.001862150000000085],[0.0001772689819334785],"[0.004448000000000037, 0.009593280000000011]",[0.0],1,0.5
"[29, 29]",[124],[127],"[27, 29]",[False],[0],"[0.004448000000000037, 0.009593280000000011]",[0.0034279400000000945],[0.007348613739013734],"[0.009791699999999971, 0.006007589999999981]",[0.0],1,0.3333333333333333
"[27, 29]",[137],[126],"[26, 29]",[False],[0],"[0.008472149999999913, 0.007435624999999975]",[0.005845879999999937],[0.0015905284881589758],"[0.0032940700000000413, 0.0005394599999999656]",[0.0],2,0.6666666666666666
"[26, 29]",[138],[127],"[24, 28]",[False],[0],"[0.0032940700000000413, 0.0005394599999999656]",[0.005609395000000104],[0.005871038436889622],"[0.006999599999999981, 0.0033992100000000067]",[0.0],2,1.0
"[24, 28]",[136],[127],"[23, 27]",[False],[0],"[0.00842785, 0.004839765000000072]",[0.006194985000000111],[0.002944974899291788],"[0.0012472800000000502, 0.008184875000000048]",[0.0],2,0.6666666666666666
"[23, 27]",[141],[128],"[21, 27]",[False],[0],"[0.0012472800000000502, 0.008184875000000048]",[0.009383699999999997],[0.008914108276367072],"[0.002930999999999977, 0.00020027000000001453]",[0.0],2,1.0
"[21, 27]",[141],[130],"[19, 26]",[False],[0],"[0.002930999999999977, 0.00020027000000001453]",[0.0016535750000000755],[0.004496812820434588],"[0.0033475000000001125, 0.002408954999999994]",[0.0],2,1.0
"[19, 26]",[158],[137],"[17, 24]",[False],[0],"[0.003216200000000056, 0.001600449999999979]",[0.0007235599999999946],[0.00019910812377917954],"[0.0020313700000000132, 0.009582300000000002]",[0.0],1,0.5
"[17, 24]",[164],[139],"[14, 23]",[False],[0],"[0.0020313700000000132, 0.009582300000000002]",[0.003531119999999978],[0.007375679016113341],"[0.008839860000000043, 0.005994110000000002]",[0.0],1,0.5
"[14, 23]",[180],[143],"[12, 21]",[False],[0],"[0.008839860000000043, 0.005994110000000002]",[0.0032462200000000843],[0.002537937164306522],"[0.003261240000000047, 0.008412890000000022]",[0.0],1,0.5
"[12, 21]",[150],[141],"[9, 20]",[False],[0],"[0.005896540000000054, 0.00556092500000001]",[0.0012254200000001124],[0.0091329479217529],"[0.007451335000000026, 0.005530299999999995]",[0.0],2,0.6666666666666666
