State,Act,Reward,NextState,Done,Cost,Weight,Probability
"[-0.19376463, 0.03127587]",[-0.48763773],[1.0079325675964357],"[-0.18811035000000004, 0.04346681]",False,[0.0],1,0.16666666666666666
"[-0.4278110550000001, -0.030590799999999994]",[-0.938347375],[1.1305645942687985],"[-0.43147084, -0.0074389899999999995]",False,[0.0],2,0.06451612903225806
"[-0.436498466796875, -0.006695159765625]",[-0.8861126383593749],[1.0724988214671614],"[-0.43639689171874996, 0.015294196874999996]",False,[0.0],8,0.34782608695652173
"[-0.431327725, 0.017561019999999993]",[-0.96420131],[1.0328607559204102],"[-0.4272458850000001, 0.04141294999999998]",False,[0.0],2,0.08
"[-0.4251151675000001, 0.0473372375]",[-0.7077631124999999],[0.9622698068618775],"[-0.416597495, 0.0650312875]",False,[0.0],3,0.13043478260869565
"[-0.11484604999999996, 0.16318619000000004]",[0.7368239400000001],[0.8490063667297365],"[-0.0897187, 0.14476562000000004]",False,[0.0],1,0.2
"[-0.0897187, 0.14476562000000004]",[0.85183342],[0.8915980339050293],"[-0.06769204000000001, 0.12346971000000001]",False,[0.0],1,1.0
"[-0.06769204000000001, 0.12346971000000001]",[0.8649679800000001],[0.9348464012145995],"[-0.04909014999999998, 0.1018455]",False,[0.0],1,1.0
"[-0.04909014999999998, 0.1018455]",[0.93007598],[0.9813502311706543],"[-0.034034970000000025, 0.07859360999999998]",False,[0.0],1,1.0
"[-0.034034970000000025, 0.07859360999999998]",[0.82963667],[1.0228320121765138],"[-0.022566140000000026, 0.057852749999999994]",False,[0.0],1,1.0
"[-0.022566140000000026, 0.057852749999999994]",[0.7861836600000001],[1.062141227722168],"[-0.01435798, 0.03819810999999999]",False,[0.0],1,1.0
"[-0.01435798, 0.03819810999999999]",[0.76693414],[1.1004878997802734],"[-0.00926882000000001, 0.01902473]",False,[0.0],1,1.0
